model,display_name,event_date,equity_start,equity_end,daily_pnl,daily_return,gross_exposure,n_signals,n_trades
deep_text_price,Deep text + price,2020-01-02,1000000.0,999894.7523032026,-105.247696797326,-0.000105247696797326,0.009175055000000001,1,1
deep_text_price,Deep text + price,2020-01-03,999894.7523032026,999908.3130876548,13.560784452186445,1.3562211843746477e-05,0.0017020099999999997,1,1
deep_text_price,Deep text + price,2020-01-07,999908.3130876548,999908.3130876548,0.0,0.0,0.0,1,0
deep_text_price,Deep text + price,2020-01-08,999908.3130876548,1000325.8517880068,417.5387003520857,0.0004175769866966623,0.01917757225000001,3,2
deep_text_price,Deep text + price,2020-01-09,1000325.8517880068,1000210.8109506727,-115.04083733406996,-0.00011500336328251755,0.017352980000000007,2,1
deep_text_price,Deep text + price,2020-01-10,1000210.8109506727,1000289.118881957,78.30793128433984,7.829142659426999e-05,0.008290547500000002,4,2
deep_text_price,Deep text + price,2020-01-13,1000289.118881957,1001019.1995454029,730.0806634458403,0.0007298696443502914,0.029332269500000004,1,1
deep_text_price,Deep text + price,2020-01-14,1001019.1995454029,1001518.0289119987,498.8293665958489,0.0004983214775724426,0.025206173500000005,2,2
deep_text_price,Deep text + price,2020-01-15,1001518.0289119987,1001518.0289119987,0.0,0.0,0.0,2,0
deep_text_price,Deep text + price,2020-01-16,1001518.0289119987,1001348.6111440561,-169.41776794268196,-0.0001691609766892857,0.029129805250000012,2,2
deep_text_price,Deep text + price,2020-01-17,1001348.6111440561,1002571.1073213276,1222.4961772714287,0.0012208497257260966,0.016982118875,2,1
deep_text_price,Deep text + price,2020-01-21,1002571.1073213276,1003059.933270315,488.82594898752006,0.0004875723481535057,0.011931982250000004,1,1
deep_text_price,Deep text + price,2020-01-22,1003059.933270315,1004072.6807125602,1012.7474422451136,0.0010096579562730752,0.03648225825,4,3
deep_text_price,Deep text + price,2020-01-23,1004072.6807125602,1004142.5371250615,69.85641250135623,6.957306362700879e-05,0.0053942630000000024,2,1
deep_text_price,Deep text + price,2020-01-24,1004142.5371250615,1004042.6307907286,-99.9063343329333,-9.949417601506349e-05,0.008264135000000004,1,1
deep_text_price,Deep text + price,2020-01-27,1004042.6307907286,1004042.6307907286,0.0,0.0,0.0,2,0
deep_text_price,Deep text + price,2020-01-28,1004042.6307907286,1003704.9707624977,-337.6600282308501,-0.0003363004895169916,0.01587739150000001,3,2
deep_text_price,Deep text + price,2020-01-29,1003704.9707624977,1005423.1265566034,1718.1557941056071,0.0017118135748599044,0.01662564125,4,1
deep_text_price,Deep text + price,2020-01-30,1005423.1265566034,1007292.9661708571,1869.8396142537165,0.0018597539333092396,0.04476814775000002,4,4
deep_text_price,Deep text + price,2020-01-31,1007292.9661708571,1007242.1467296389,-50.81944121810896,-5.045150013436008e-05,0.023761238625000007,5,3
deep_text_price,Deep text + price,2020-02-03,1007242.1467296389,1007084.3659866033,-157.7807430356449,-0.00015664628763593225,0.004744859750000001,2,1
deep_text_price,Deep text + price,2020-02-04,1007084.3659866033,1015531.0999129631,8446.733926359851,0.00838731511643009,0.0579536485,2,2
deep_text_price,Deep text + price,2020-02-05,1015531.0999129631,1015195.9641252835,-335.1357876795402,-0.0003300103637478589,0.017002677875000004,2,1
deep_text_price,Deep text + price,2020-02-06,1015195.9641252835,1015195.9641252835,0.0,0.0,0.0,2,0
deep_text_price,Deep text + price,2020-02-07,1015195.9641252835,1015195.9641252835,0.0,0.0,0.0,1,0
deep_text_price,Deep text + price,2020-02-10,1015195.9641252835,1015188.1318562141,-7.832269069444884,-7.715031724139437e-06,0.01057304175,2,2
deep_text_price,Deep text + price,2020-02-11,1015188.1318562141,1015188.1318562141,0.0,0.0,0.0,2,0
deep_text_price,Deep text + price,2020-02-12,1015188.1318562141,1015188.1318562141,0.0,0.0,0.0,2,0
deep_text_price,Deep text + price,2020-02-13,1015188.1318562141,1015188.1318562141,0.0,0.0,0.0,1,0
deep_text_price,Deep text + price,2020-02-14,1015188.1318562141,1015212.1957602241,24.0639040099346,2.370388625991432e-05,0.003155592500000003,1,1
deep_text_price,Deep text + price,2020-02-18,1015212.1957602241,1015455.2877589479,243.09199872385423,0.00023944944686348944,0.019088534500000004,3,2
deep_text_price,Deep text + price,2020-02-19,1015455.2877589479,1015425.8641435719,-29.42361537603428,-2.8975786261323752e-05,0.0018974075000000022,3,1
deep_text_price,Deep text + price,2020-02-20,1015425.8641435719,1015073.4082271748,-352.45591639714246,-0.00034710157466238067,0.01877529025000001,3,2
deep_text_price,Deep text + price,2020-02-21,1015073.4082271748,1015267.3566128458,193.94838567102843,0.00019106833466336115,0.004431515000000001,2,1
deep_text_price,Deep text + price,2020-02-24,1015267.3566128458,1015267.3566128458,0.0,0.0,0.0,1,0
deep_text_price,Deep text + price,2020-02-25,1015267.3566128458,1014899.8914181305,-367.4651947152783,-0.00036193933777327645,0.022815875000000006,2,1
deep_text_price,Deep text + price,2020-02-26,1014899.8914181305,1015593.4592294001,693.5678112696173,0.0006833854423814033,0.02235299200000001,3,2
deep_text_price,Deep text + price,2020-02-27,1015593.4592294001,1015848.7924120794,255.33318267926782,0.000251412787625677,0.026389759750000005,3,2
deep_text_price,Deep text + price,2020-02-28,1015848.7924120794,1018399.1605297934,2550.368117713896,0.002510578480541559,0.07000171875000002,4,4
