ticker,event_date,target_end_date,future_return_1d,true_label,abnormal_score,post_count,prob_negative,prob_neutral,prob_positive,model,display_name,predicted_label,confidence,direction,conviction,position_pct_raw,position_pct,gross_position_pct,trade_return,pnl,equity_start
DIS,2020-01-02,2020-01-03,-0.0114710698516059,negative,-1.4439080481517892,1,0.23688656,0.30744606,0.4556674,deep_text_price,Deep text + price,positive,0.4556674,1.0,0.18350110000000003,0.009175055000000001,0.009175055000000001,0.009175055000000001,-0.0114710698516059,-105.247696797326,1000000.0
AAPL,2020-01-03,2020-01-06,0.0079683502704135,positive,0.8558231322277605,1,0.28888866,0.35508454,0.3560268,deep_text_price,Deep text + price,positive,0.3560268,1.0,0.03404019999999999,0.0017020099999999997,0.0017020099999999997,0.0017020099999999997,0.0079683502704135,13.560784452186445,999894.7523032026
PYPL,2020-01-07,2020-01-08,0.0196043250402788,positive,1.7182368401200914,1,0.31639937,0.41590518,0.2676954,deep_text_price,Deep text + price,neutral,0.41590518,0.0,0.12385777,0.0,0.0,0.0,0.0,0.0,999908.3130876548
AAPL,2020-01-08,2020-01-09,0.0212407945881722,positive,2.2022380491390514,1,0.2877617,0.31689635,0.39534193,deep_text_price,Deep text + price,positive,0.39534193,1.0,0.09301289500000004,0.004650644750000002,0.004650644750000002,0.004650644750000002,0.0212407945881722,98.77433269330632,999908.3130876548
BA,2020-01-08,2020-01-09,0.0149983648489777,positive,0.963943164547701,1,0.18105069,0.41689393,0.40205538,deep_text_price,Deep text + price,neutral,0.41689393,0.0,0.12534089500000006,0.0,0.0,0.0,0.0,0.0,999908.3130876548
TSLA,2020-01-08,2020-01-09,-0.0219450119000973,negative,-1.040443054233185,1,0.5270257,0.20056997,0.27240434,deep_text_price,Deep text + price,negative,0.5270257,-1.0,0.2905385500000001,-0.014526927500000007,-0.014526927500000007,0.014526927500000007,0.0219450119000973,318.7643676587794,999908.3130876548
DIS,2020-01-09,2020-01-10,-0.0014500117574394,neutral,-0.1525129952478261,1,0.2993065,0.35113934,0.34955406,deep_text_price,Deep text + price,neutral,0.35113934,0.0,0.02670901000000006,0.0,0.0,0.0,-0.0,-0.0,1000325.8517880068
TSLA,2020-01-09,2020-01-10,-0.0066272976331741,neutral,-0.298357792903552,1,0.039853074,0.39544058,0.5647064,deep_text_price,Deep text + price,positive,0.5647064,1.0,0.34705960000000013,0.017352980000000007,0.017352980000000007,0.017352980000000007,-0.0066272976331741,-115.04083733406996,1000325.8517880068
AAPL,2020-01-10,2020-01-13,0.0213641783764906,positive,2.261248190910735,1,0.28991714,0.3435329,0.36655,deep_text_price,Deep text + price,positive,0.36655,1.0,0.04982500000000001,0.0024912500000000004,0.0024912500000000004,0.0024912500000000004,0.0213641783764906,53.23472947904284,1000210.8109506727
AMZN,2020-01-10,2020-01-13,0.0043225782456992,neutral,0.3321974209126941,1,0.20013931,0.38920346,0.4106573,deep_text_price,Deep text + price,positive,0.4106573,1.0,0.11598595000000003,0.005799297500000002,0.005799297500000002,0.005799297500000002,0.0043225782456992,25.073201805297,1000210.8109506727
BA,2020-01-10,2020-01-13,0.0009092873297715,neutral,0.0558567119604311,1,0.25004768,0.44209373,0.30785856,deep_text_price,Deep text + price,neutral,0.44209373,0.0,0.16314059500000005,0.0,0.0,0.0,0.0,0.0,1000210.8109506727
BABA,2020-01-10,2020-01-13,0.0297099598340391,positive,2.61697779051778,2,0.31644487,0.343277975,0.34027721,deep_text_price,Deep text + price,neutral,0.343277975,0.0,0.014916962500000047,0.0,0.0,0.0,0.0,0.0,1000210.8109506727
TSLA,2020-01-13,2020-01-14,0.0248828221202008,positive,1.0183238288692724,1,0.08165996,0.19390981,0.72443026,deep_text_price,Deep text + price,positive,0.72443026,1.0,0.58664539,0.029332269500000004,0.029332269500000004,0.029332269500000004,0.0248828221202008,730.0806634458403,1000289.118881957
AAPL,2020-01-14,2020-01-15,-0.004285544799338,neutral,-0.4297071520437159,1,0.22772533,0.3030341,0.46924058,deep_text_price,Deep text + price,positive,0.46924058,1.0,0.20386087000000006,0.010193043500000004,0.010193043500000004,0.010193043500000004,-0.004285544799338,-43.72726599424939,1001019.1995454029
TSLA,2020-01-14,2020-01-15,-0.0361020135130578,negative,-1.180822079437546,1,0.5335084,0.27963322,0.1868584,deep_text_price,Deep text + price,negative,0.5335084,-1.0,0.30026260000000005,-0.015013130000000003,-0.015013130000000003,0.015013130000000003,0.0361020135130578,542.5566325900983,1001019.1995454029
AAPL,2020-01-15,2020-01-16,0.0125267377693083,positive,1.1448513667209124,2,0.20515983999999998,0.40130935,0.393530785,deep_text_price,Deep text + price,neutral,0.40130935,0.0,0.10196402500000004,0.0,0.0,0.0,0.0,0.0,1001518.0289119987
SBUX,2020-01-15,2020-01-16,0.0113608950780441,positive,1.4510840579000954,1,0.24239244,0.4687185,0.28888905,deep_text_price,Deep text + price,neutral,0.4687185,0.0,0.20307775,0.0,0.0,0.0,0.0,0.0,1001518.0289119987
MSFT,2020-01-16,2020-01-17,0.0055968838913007,neutral,0.6279840339290187,1,0.36039972,0.32805973,0.31154048,deep_text_price,Deep text + price,negative,0.36039972,-1.0,0.040599579999999996,-0.002029979,-0.002029979,0.002029979,-0.0055968838913007,-11.378803936432954,1001518.0289119987
TSLA,2020-01-16,2020-01-17,-0.0058228941569139,neutral,-0.1888399017096316,2,0.0816225715,0.22371307,0.69466435,deep_text_price,Deep text + price,positive,0.69466435,1.0,0.5419965250000002,0.02709982625000001,0.02709982625000001,0.02709982625000001,-0.0058228941569139,-158.03896400624902,1001518.0289119987
BA,2020-01-17,2020-01-21,-0.033256226367741,negative,-2.4826136489298856,1,0.22171098,0.43753868,0.34075034,deep_text_price,Deep text + price,neutral,0.43753868,0.0,0.15630802000000005,0.0,0.0,0.0,-0.0,-0.0,1001348.6111440561
TSLA,2020-01-17,2020-01-21,0.0718903061927893,positive,2.3219752235222364,2,0.17692466,0.263313755,0.559761585,deep_text_price,Deep text + price,positive,0.559761585,1.0,0.3396423775,0.016982118875,0.016982118875,0.016982118875,0.0718903061927893,1222.4961772714287,1001348.6111440561
TSLA,2020-01-21,2020-01-22,0.0408626444406172,positive,1.3232812566780583,1,0.18141696,0.32615662,0.49242643,deep_text_price,Deep text + price,positive,0.49242643,1.0,0.23863964500000007,0.011931982250000004,0.011931982250000004,0.011931982250000004,0.0408626444406172,488.82594898752006,1002571.1073213276
BA,2020-01-22,2020-01-23,0.0284465853705546,positive,1.8066436531642096,1,0.20008999,0.09964166,0.7002683,deep_text_price,Deep text + price,positive,0.7002683,1.0,0.55040245,0.0275201225,0.0275201225,0.0275201225,0.0284465853705546,785.2489936179616,1003059.933270315
MSFT,2020-01-22,2020-01-23,0.0061554761877391,neutral,0.6568171606796507,1,0.23703104,0.3446907,0.41827825,deep_text_price,Deep text + price,positive,0.41827825,1.0,0.12741737500000005,0.006370868750000003,0.006370868750000003,0.006370868750000003,0.0061554761877391,39.33572840549348,1003059.933270315
NFLX,2020-01-22,2020-01-23,0.0723926601476685,positive,4.70532973756506,1,0.27537954,0.3567369,0.36788356,deep_text_price,Deep text + price,positive,0.36788356,1.0,0.051825340000000025,0.0025912670000000013,0.0025912670000000013,0.0025912670000000013,0.0723926601476685,188.16272022165856,1003059.933270315
TSLA,2020-01-22,2020-01-23,0.004635122144013,neutral,0.138696121404711,3,0.1694752966666667,0.50741957,0.32310507666666666,deep_text_price,Deep text + price,neutral,0.50741957,0.0,0.2611293550000001,0.0,0.0,0.0,0.0,0.0,1003059.933270315
BABA,2020-01-23,2020-01-24,-0.0245516548170524,negative,-1.6526172330246574,1,0.25816056,0.4047408,0.33709857,deep_text_price,Deep text + price,neutral,0.4047408,0.0,0.10711120000000005,0.0,0.0,0.0,-0.0,-0.0,1004072.6807125602
TSLA,2020-01-23,2020-01-24,-0.0128976031808254,neutral,-0.3821990253125644,1,0.40525684,0.36698055,0.22776262,deep_text_price,Deep text + price,negative,0.40525684,-1.0,0.10788526000000004,-0.0053942630000000024,-0.0053942630000000024,0.0053942630000000024,0.0128976031808254,69.85641250135623,1004072.6807125602
