id,ticker,event_date,true_label,deep_text_price_prediction,classical_price_only_prediction,deep_text_price_confidence,classical_price_only_confidence,future_return_1d,abnormal_score,senti_label,emo_label,likely_root_cause,original
109071,TSLA,2020-02-05,neutral,negative,neutral,0.67630607,0.3828868985719507,0.0194093169425442,0.3254907071007596,bearish,disgust,model overreacted to directional cues in a neutral target window,"$TSLA another gap down tomorrow $600 , let it drop 😁👎"
109460,TSLA,2020-07-08,neutral,positive,neutral,0.75890326,0.4663093178131456,0.0207924564914558,0.4291409903360993,bullish,optimism,model overreacted to directional cues in a neutral target window,$TSLA I sold my puts earlier sucks😎
109072,TSLA,2020-02-05,neutral,negative,neutral,0.65814996,0.3828868985719507,0.0194093169425442,0.3254907071007596,bearish,optimism,model overreacted to directional cues in a neutral target window,Limit order kicked in and I shorted another small odd lot of $TSLA stock. Nice to have some cash again — we'll see how long *that* lasts. ☺
109913,TSLA,2020-11-30,neutral,positive,neutral,0.64199823,0.3996856608047064,0.0302325650790993,0.7325313671274428,bearish,optimism,model overreacted to directional cues in a neutral target window,"$TSLA sold 10 puts at close 😥 still have a fair amount, but kickin myself a little rn"
109064,TSLA,2020-02-05,neutral,negative,neutral,0.61760455,0.3828868985719507,0.0194093169425442,0.3254907071007596,bullish,excitement,model overreacted to directional cues in a neutral target window,$TSLA Shorts get a reaming again today. 😂🖕🏼
109352,FB,2020-05-05,neutral,positive,neutral,0.5847917,0.3636258302045705,0.0067610205370682,0.2176087202604601,bullish,ambiguous,model overreacted to directional cues in a neutral target window,"$FB Where’s all those “just bought puts, its so easy” guys at 200? Shouldn’t you be buying your puts here? 😎"
109070,TSLA,2020-02-05,neutral,negative,neutral,0.60035115,0.3828868985719507,0.0194093169425442,0.3254907071007596,bearish,panic,model overreacted to directional cues in a neutral target window,$TSLA all the way down to 145👻👻👻
109065,TSLA,2020-02-05,neutral,negative,neutral,0.5964161,0.3828868985719507,0.0194093169425442,0.3254907071007596,bullish,disgust,model overreacted to directional cues in a neutral target window,$TSLA Elon + arc investment looking at shorts futile efforts 😂
109067,TSLA,2020-02-05,neutral,negative,neutral,0.5863031,0.3828868985719507,0.0194093169425442,0.3254907071007596,bullish,excitement,model overreacted to directional cues in a neutral target window,$TSLA if you can't handle the fire 🔥🔥🔥 get out of the kitchen! Buying opportunity coming
109066,TSLA,2020-02-05,neutral,negative,neutral,0.5793333,0.3828868985719507,0.0194093169425442,0.3254907071007596,bullish,ambiguous,model overreacted to directional cues in a neutral target window,$TSLA shorts are not having much luck 🤣😂
109914,TSLA,2020-11-30,neutral,positive,neutral,0.5867862,0.3996856608047064,0.0302325650790993,0.7325313671274428,bearish,anxiety,model overreacted to directional cues in a neutral target window,$TSLA old news 🥱. Still holding my puts
109972,FB,2020-12-18,negative,neutral,negative,0.5864317,0.4041463234534883,-0.0130603693601076,-0.8979747383772764,bearish,optimism,abnormal move occurred despite a weak directional model signal,"$FB 

Going lower , diamond pattern is the most bearish , plus lawsuits and higher taxes , this company will drop down to 225 . 📉📉📉 this is a great time to still get puts"
